,high_risk_event
gps_speed_kmh,0.1600080938359097
latitude,0.13172767969767224
video_time_seconds,0.11511660438254057
frame_number,0.11494517642070205
gps_altitude,0.09885885631077683
time_diff,0.07017092058670507
gps_satellites,0.04017823482671473
imu_mag_x,0.024961349632541673
gps_course_degrees,0.024381397388156596
imu_accel_x,0.018869841529439116
imu_accel_y,0.01750469042881194
imu_data_age_seconds,0.015444642808609257
imu_gyro_y,0.014860166227247913
gps_fix_quality,0.010977301646077475
imu_mag_y,0.009710567350972232
imu_gyro_x,0.007163655124484234
imu_mag_magnitude,0.00540499255985671
overlay_ms,0.003904319841249707
imu_temperature,-0.0002652919097228652
imu_gyro_magnitude,-0.004615170235456791
imu_mag_z,-0.008568050423620905
imu_accel_magnitude,-0.010406957662278438
acceleration_change,-0.011103256719526004
imu_accel_z,-0.014927234766814942
speed_diff,-0.018528141071393375
imu_gyro_z,-0.03653285200709256
trip_distance,-0.04257928225588274
gps_hdop,-0.05497980765426133
bbox_w,-0.0671781484557055
gps_data_age_seconds,-0.06800936256320395
tracking_id,-0.08819904249819224
bbox_h,-0.09732880095340098
bbox_x,-0.09935810378490811
distance_m,-0.10475252227069719
detection_id,-0.11792010528368878
bbox_y,-0.13075587428042076
longitude,-0.1418223785550798
confidence,-0.1428893401025292
overlay_conf,
hour_of_day,
